State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,West Godavari,2023-07-03,2023,7,0.0005590451,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-04,2023,7,6.8990522097,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-05,2023,7,27.0538316938,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-06,2023,7,22.8606477528,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-07,2023,7,10.5189833364,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-08,2023,7,1.1314698687,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-09,2023,7,1.0524393021,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-10,2023,7,5.4452723184,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-11,2023,7,1.6506138182,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-12,2023,7,3.4365682564,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-13,2023,7,22.8333255098,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-14,2023,7,25.3396896299,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-15,2023,7,10.3079676964,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-16,2023,7,11.7387625387,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-17,2023,7,3.7740710621,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-18,2023,7,7.3344151839,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-19,2023,7,19.7448349786,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-20,2023,7,24.2106736558,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-21,2023,7,13.6220491472,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-22,2023,7,2.7234276821,IMD GRID MODEL
Andhra Pradesh,West Godavari,2023-07-23,2023,7,14.7183447423,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-01,2023,7,0.090245398,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-02,2023,7,1.3461104326,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-03,2023,7,7.0220157573,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-04,2023,7,8.1948658032,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-05,2023,7,1.0850926337,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-06,2023,7,0.0070586814,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-07,2023,7,0.0944509138,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-08,2023,7,1.3323945617,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-09,2023,7,0.1775505504,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-10,2023,7,1.8288610491,IMD GRID MODEL
Andhra Pradesh,Y.S.R.,2023-07-11,2023,7,NA,IMD GRID MODEL
