id,date,year,month,state_code,state_name,actual_rainfall_mm,rfs_raw,normal_rainfall_mm,deviation_pct,no_actual_rainfall_reported
5299,2009-06-01,2009,6,35,Andaman And Nicobar Islands,,0.0,17.71,,True
5334,2009-06-02,2009,6,35,Andaman And Nicobar Islands,,0.0,14.37,,True
5369,2009-06-03,2009,6,35,Andaman And Nicobar Islands,,0.0,15.82,,True
5404,2009-06-04,2009,6,35,Andaman And Nicobar Islands,,0.0,14.28,,True
5439,2009-06-05,2009,6,35,Andaman And Nicobar Islands,,0.0,12.38,,True
5474,2009-06-06,2009,6,35,Andaman And Nicobar Islands,,0.0,15.8,,True
5509,2009-06-07,2009,6,35,Andaman And Nicobar Islands,,0.0,15.89,,True
5544,2009-06-08,2009,6,35,Andaman And Nicobar Islands,,0.0,13.93,,True
5579,2009-06-09,2009,6,35,Andaman And Nicobar Islands,,0.0,14.3,,True
5614,2009-06-10,2009,6,35,Andaman And Nicobar Islands,,0.0,10.43,,True
5649,2009-06-11,2009,6,35,Andaman And Nicobar Islands,,0.0,11.66,,True
5684,2009-06-12,2009,6,35,Andaman And Nicobar Islands,,0.0,11.57,,True
5719,2009-06-13,2009,6,35,Andaman And Nicobar Islands,,0.0,11.47,,True
5754,2009-06-14,2009,6,35,Andaman And Nicobar Islands,,0.0,13.3,,True
5789,2009-06-15,2009,6,35,Andaman And Nicobar Islands,,0.0,14.0,,True
5824,2009-06-16,2009,6,35,Andaman And Nicobar Islands,,0.0,12.59,,True
5859,2009-06-17,2009,6,35,Andaman And Nicobar Islands,,0.0,7.71,,True
5894,2009-06-18,2009,6,35,Andaman And Nicobar Islands,,0.0,9.47,,True
5929,2009-06-19,2009,6,35,Andaman And Nicobar Islands,,0.0,12.51,,True
5964,2009-06-20,2009,6,35,Andaman And Nicobar Islands,,0.0,13.41,,True
5999,2009-06-21,2009,6,35,Andaman And Nicobar Islands,,0.0,12.59,,True
6034,2009-06-22,2009,6,35,Andaman And Nicobar Islands,,0.0,13.45,,True
6069,2009-06-23,2009,6,35,Andaman And Nicobar Islands,,0.0,15.07,,True
6104,2009-06-24,2009,6,35,Andaman And Nicobar Islands,,0.0,13.63,,True
6139,2009-06-25,2009,6,35,Andaman And Nicobar Islands,,0.0,10.79,,True
6174,2009-06-26,2009,6,35,Andaman And Nicobar Islands,,0.0,12.98,,True
6209,2009-06-27,2009,6,35,Andaman And Nicobar Islands,,0.0,10.75,,True
6244,2009-06-28,2009,6,35,Andaman And Nicobar Islands,,0.0,13.24,,True
6279,2009-06-29,2009,6,35,Andaman And Nicobar Islands,,0.0,11.19,,True
6314,2009-06-30,2009,6,35,Andaman And Nicobar Islands,,0.0,11.67,,True
6349,2009-07-01,2009,7,35,Andaman And Nicobar Islands,,0.0,11.45,,True
6384,2009-07-02,2009,7,35,Andaman And Nicobar Islands,,0.0,10.03,,True
6419,2009-07-03,2009,7,35,Andaman And Nicobar Islands,,0.0,9.59,,True
6454,2009-07-04,2009,7,35,Andaman And Nicobar Islands,,0.0,8.61,,True
6489,2009-07-05,2009,7,35,Andaman And Nicobar Islands,,0.0,9.6,,True
6524,2009-07-06,2009,7,35,Andaman And Nicobar Islands,,0.0,10.88,,True
6559,2009-07-07,2009,7,35,Andaman And Nicobar Islands,,0.0,9.82,,True
6594,2009-07-08,2009,7,35,Andaman And Nicobar Islands,,0.0,7.96,,True
6629,2009-07-09,2009,7,35,Andaman And Nicobar Islands,,0.0,9.06,,True
6664,2009-07-10,2009,7,35,Andaman And Nicobar Islands,,0.0,9.94,,True
6699,2009-07-11,2009,7,35,Andaman And Nicobar Islands,,0.0,9.02,,True
6734,2009-07-12,2009,7,35,Andaman And Nicobar Islands,,0.0,11.26,,True
6769,2009-07-13,2009,7,35,Andaman And Nicobar Islands,,0.0,13.3,,True
6804,2009-07-14,2009,7,35,Andaman And Nicobar Islands,,0.0,11.45,,True
